Province_State,Date,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7,retail_recreation,grocery_pharmacy,parks,transit,work,residential
Utah,7/30/20,39696,300,502,8,513.8571429,4.714285714,560.7857143,4.714285714,UT,43.06,51.39,Utah,3205958,16.02819322,0.147047644,3.8,13.18181818,133.1428571,-3.615384615,-30.48,8.090909091
Utah,7/31/20,40196,304,500,4,462,4.428571429,544.5714286,4.928571429,UT,43.06,51.39,Utah,3205958,14.41066914,0.138135666,-2.066666667,15.09090909,96.5,2,-30.48,6.7
Utah,8/1/20,40702,310,506,6,439.8571429,5.142857143,526.4285714,4.785714286,UT,43.06,51.39,Utah,3205958,13.71999081,0.160415612,-4.0625,8.727272727,121.8571429,0.454545455,-10.22222222,0.888888889
Utah,8/2/20,41175,311,473,1,457.4285714,5.285714286,504.1428571,4.857142857,UT,43.06,51.39,Utah,3205958,14.26807748,0.164871601,-0.090909091,18.3,102.8333333,1.363636364,-19.625,0.857142857
Utah,8/3/20,41529,314,354,3,445.7142857,4.714285714,500.2142857,4.785714286,UT,43.06,51.39,Utah,3205958,13.90268636,0.147047644,6.533333333,11.90909091,117.7142857,-5.083333333,-29.08,7.2
Utah,8/4/20,41907,321,378,7,436,5,492.5,5,UT,43.06,51.39,Utah,3205958,13.5996791,0.155959623,2.928571429,11.72727273,131,-2.538461538,-30.72,8.1
Utah,8/5/20,42328,327,421,6,447.7142857,5,482.1428571,4.785714286,UT,43.06,51.39,Utah,3205958,13.96507021,0.155959623,5.933333333,12.45454545,131.6666667,-7.384615385,-30.52,7.636363636
Utah,8/6/20,42915,330,587,3,459.8571429,4.285714286,486.8571429,4.5,UT,43.06,51.39,Utah,3205958,14.3438293,0.133679677,6.066666667,12.45454545,138.5,-5.833333333,-30.36,7.363636364
Utah,8/7/20,43375,335,460,5,454.1428571,4.428571429,458.0714286,4.428571429,UT,43.06,51.39,Utah,3205958,14.16558973,0.138135666,-1.0625,12.18181818,109.8333333,3.071428571,-30.64,6.1
Utah,8/8/20,43751,335,376,0,435.5714286,3.571428571,437.7142857,4.357142857,UT,43.06,51.39,Utah,3205958,13.58631113,0.11139973,-3.6875,7,134,4.583333333,-9.055555556,0.777777778
Utah,8/9/20,44127,336,376,1,421.7142857,3.571428571,439.5714286,4.428571429,UT,43.06,51.39,Utah,3205958,13.15408018,0.11139973,1.727272727,20.81818182,133,10.16666667,-19.75,0
Utah,8/10/20,44390,345,263,9,408.7142857,4.428571429,427.2142857,4.571428571,UT,43.06,51.39,Utah,3205958,12.74858516,0.138135666,4.333333333,9.545454545,121.4285714,-4.416666667,-29.24,6.9
Utah,8/11/20,44752,349,362,4,406.4285714,4,421.2142857,4.5,UT,43.06,51.39,Utah,3205958,12.67728933,0.124767698,1.642857143,9.545454545,140.8333333,-2.384615385,-30.76,7.4
Utah,8/12/20,45090,351,338,2,394.5714286,3.428571429,421.1428571,4.214285714,UT,43.06,51.39,Utah,3205958,12.30744222,0.106943741,2.6875,9.818181818,142.5,-3,-29.56,7.363636364
Utah,8/13/20,45424,353,334,2,358.4285714,3.285714286,409.1428571,3.785714286,UT,43.06,51.39,Utah,3205958,11.18007695,0.102487752,2.533333333,10.18181818,139,-8.583333333,-30.44,7.4
Utah,8/14/20,45976,360,552,7,371.5714286,3.571428571,412.8571429,4,UT,43.06,51.39,Utah,3205958,11.59002796,0.11139973,-2.466666667,12.09090909,111.5,-1.428571429,-30.36,5.5
Utah,8/15/20,46321,363,345,3,367.1428571,4,401.3571429,3.785714286,UT,43.06,51.39,Utah,3205958,11.45189229,0.124767698,-4.9375,5.181818182,130.8571429,-0.166666667,-11,0.444444444
Utah,8/16/20,46652,363,331,0,360.7142857,3.857142857,391.2142857,3.714285714,UT,43.06,51.39,Utah,3205958,11.25137278,0.120311709,0,17,107.5,4.666666667,-21.375,0.25
Utah,8/17/20,46894,364,242,1,357.7142857,2.714285714,383.2142857,3.571428571,UT,39.35,48.61,Utah,3205958,11.15779701,0.084663795,-3,3.833333333,85.5,-25.66666667,-35.2,6.7
Utah,8/18/20,47157,369,263,5,343.5714286,2.857142857,375,3.428571429,UT,39.35,48.61,Utah,3205958,10.71665407,0.089119784,-5.142857143,4.5,101.5,-29.66666667,-34.9,7.636363636
Utah,8/19/20,47521,377,364,8,347.2857143,3.714285714,370.9285714,3.571428571,UT,39.35,48.61,Utah,3205958,10.83250979,0.11585572,-4.285714286,4.666666667,96.5,-28,-34.8,7.272727273
Utah,8/20/20,47982,381,461,4,365.4285714,4,361.9285714,3.642857143,UT,39.35,48.61,Utah,3205958,11.39842042,0.124767698,-4.857142857,6.666666667,102,-30.33333333,-35.1,7.181818182
Utah,8/21/20,48445,383,463,2,352.7142857,3.285714286,362.1428571,3.428571429,UT,39.35,48.61,Utah,3205958,11.00183738,0.102487752,-12.875,6.833333333,83,-27.33333333,-33.9,5.6
Utah,8/22/20,48814,385,369,2,356.1428571,3.142857143,361.6428571,3.571428571,UT,39.35,48.61,Utah,3205958,11.10878112,0.098031763,-14.85714286,1.5,101,-24,-11.33333333,1
Utah,8/23/20,49115,385,301,0,351.8571429,3.142857143,356.2857143,3.5,UT,39.35,48.61,Utah,3205958,10.97510145,0.098031763,-3.5,8.2,85.5,-27.5,-19.5,1.142857143
Utah,8/24/20,49364,390,249,5,352.8571429,3.714285714,355.2857143,3.214285714,UT,39.35,48.61,Utah,3205958,11.00629337,0.11585572,-3,5.166666667,77,-28,-33.4,5.545454545
Utah,8/25/20,49767,397,403,7,372.8571429,4,358.2142857,3.428571429,UT,39.35,48.61,Utah,3205958,11.63013186,0.124767698,-5.714285714,4.333333333,93,-30.33333333,-34.4,6.75
Utah,8/26/20,50174,401,407,4,379,3.428571429,363.1428571,3.571428571,UT,39.35,48.61,Utah,3205958,11.8217394,0.106943741,-5.857142857,6.666666667,94,-30.33333333,-32.7,6
Utah,8/27/20,50557,403,383,2,367.8571429,3.142857143,366.6428571,3.571428571,UT,39.35,48.61,Utah,3205958,11.47417224,0.098031763,-6.857142857,6.5,102,-27.33333333,-32.9,6.727272727
Utah,8/28/20,50948,407,391,4,357.5714286,3.428571429,355.1428571,3.357142857,UT,39.35,48.61,Utah,3205958,11.15334102,0.106943741,-13,7.333333333,94.5,-26.66666667,-31.3,5
Utah,8/29/20,51406,407,458,0,370.2857143,3.142857143,363.2142857,3.142857143,UT,39.35,48.61,Utah,3205958,11.54992406,0.098031763,-12.57142857,3.666666667,119.5,-23.5,-11,0.777777778
Utah,8/30/20,51854,407,448,0,391.2857143,3.142857143,371.5714286,3.142857143,UT,39.35,48.61,Utah,3205958,12.20495447,0.098031763,-1.833333333,9.4,102,-27.5,-19.83333333,1.142857143
Utah,8/31/20,52107,407,253,0,391.8571429,2.428571429,372.3571429,3.071428571,UT,39.35,48.61,Utah,3205958,12.22277843,0.075751817,-3.714285714,5.166666667,82,-27.66666667,-31.3,4.818181818
Utah,9/1/20,52403,409,296,2,376.5714286,1.714285714,374.7142857,2.857142857,UT,39.35,48.61,Utah,3205958,11.74598758,0.053471871,-4.714285714,6.333333333,114.5,-30,-32.8,5.153846154
Utah,9/2/20,52822,410,419,1,378.2857143,1.285714286,378.6428571,2.357142857,UT,39.35,48.61,Utah,3205958,11.79945945,0.040103903,-4.285714286,7,102,-26.33333333,-32.1,5.076923077
Utah,9/3/20,53326,414,504,4,395.5714286,1.571428571,381.7142857,2.357142857,UT,39.35,48.61,Utah,3205958,12.33863415,0.049015881,-3.428571429,9.833333333,103,-25,-32.7,4.769230769
Utah,9/4/20,53839,419,513,5,413,1.714285714,385.2857143,2.571428571,UT,31.94,43.06,Utah,3205958,12.88226483,0.053471871,-10,14.5,96,-26,-33.5,3.727272727
Utah,9/5/20,54272,420,433,1,409.4285714,1.857142857,389.8571429,2.5,UT,31.94,43.06,Utah,3205958,12.7708651,0.05792786,-15.42857143,4.5,105,-22,-17.5,0.625
Utah,9/6/20,54660,422,388,2,400.8571429,2.142857143,396.0714286,2.642857143,UT,31.94,43.06,Utah,3205958,12.50350575,0.066839838,-1.5,8.4,121,-32,-24.83333333,0.142857143
Utah,9/7/20,55033,423,373,1,418,2.285714286,404.9285714,2.357142857,UT,31.94,43.06,Utah,3205958,13.03822446,0.071295828,0.857142857,8.333333333,129.5,-40.33333333,-72.6,11.7
Utah,9/8/20,55359,424,326,1,422.2857143,2.142857143,399.4285714,1.928571429,UT,31.94,43.06,Utah,3205958,13.17190413,0.066839838,-7.857142857,2.833333333,38.5,-33.66666667,-38.3,6.818181818
Utah,9/9/20,55673,427,314,3,407.2857143,2.428571429,392.7857143,1.857142857,UT,31.94,43.06,Utah,3205958,12.70402526,0.075751817,-3.142857143,7,77.5,-27.33333333,-33.2,4.846153846
Utah,9/10/20,56019,430,346,3,384.7142857,2.285714286,390.1428571,1.928571429,UT,31.94,43.06,Utah,3205958,11.99997897,0.071295828,-4.571428571,4.333333333,103,-26.33333333,-31.4,4.076923077
Utah,9/11/20,56675,431,656,1,405.1428571,1.714285714,409.0714286,1.714285714,UT,31.94,43.06,Utah,3205958,12.63718543,0.053471871,-0.8125,6.25,103.8571429,0.142857143,-22.92,3.636363636
Utah,9/12/20,57247,433,572,2,425,1.857142857,417.2142857,1.857142857,UT,31.94,43.06,Utah,3205958,13.25656793,0.05792786,-1.625,4.363636364,142.2857143,7.916666667,-10.22222222,0
Utah,9/13/20,57875,433,628,0,459.2857143,1.571428571,430.0714286,1.857142857,UT,31.94,43.06,Utah,3205958,14.32600534,0.049015881,-0.818181818,11,103.4285714,1.833333333,-21.6875,1.285714286
